set_no,name,price_store,price_new,price_used,rating_value,rating_votes,theme_group,theme,subtheme,main_tag,year,volume,weight,piece_cnt,minifig_cnt
70753-1,Lava Falls,7.99,13,10,5,3,Action/Adventure,Ninjago,Tournament of Elements,,2015,996.165,0.15,94,2
70754-1,ElectroMech,14.99,33,14,5,2,Action/Adventure,Ninjago,Tournament of Elements,,2015,1773.216,0.22,153,2
70755-1,Jungle Raider ,19.99,24,15,4.5,2,Action/Adventure,Ninjago,Tournament of Elements,,2015,3052.562,0.35,188,2
70756-1,Dojo Showdown,24.99,47,27,5,1,Action/Adventure,Ninjago,Tournament of Elements,,2015,3052.562,0.37,215,4
70778-1,Protector of Jungle,9.99,24,15,4.7,3,Constraction,Bionicle,Companions,,2015,1454.274,0.14,64,0
70779-1,Protector of Stone,9.99,19,14,4.8,4,Constraction,Bionicle,Companions,,2015,1454.274,0.14,73,0
70780-1,Protector of Water,9.99,22,9,3,1,Constraction,Bionicle,Companions,,2015,1454.274,0.14,71,0
70781-1,Protector of Earth,9.99,27,15,4.5,2,Constraction,Bionicle,Companions,,2015,1454.274,0.14,66,0
70782-1,Protector of Ice,9.99,23,12,4.4,5,Constraction,Bionicle,Companions,,2015,1454.274,0.14,68,0
70783-1,Protector of Fire,9.99,20,9,4,1,Constraction,Bionicle,Companions,,2015,1454.274,0.14,69,0
70784-1,Lewa - Master of Jungle,14.99,22,15,4.7,7,Constraction,Bionicle,Toa,,2015,1768.23,0.21,85,0
70785-1,Pohatu - Master of Stone,14.99,19,10,4,5,Constraction,Bionicle,Toa,,2015,1768.23,0.2,66,0
